timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/13 02:52:09.388, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.56 W
2026/04/13 02:52:10.391, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.61 W
2026/04/13 02:52:11.392, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.76 W
2026/04/13 02:52:12.392, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.95 W
2026/04/13 02:52:13.392, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.06 W
2026/04/13 02:52:14.392, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.86 W
2026/04/13 02:52:15.393, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.15 W
2026/04/13 02:52:16.393, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.05 W
2026/04/13 02:52:17.393, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.76 W
2026/04/13 02:52:18.394, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.81 W
2026/04/13 02:52:19.394, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.01 W
2026/04/13 02:52:20.394, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.86 W
2026/04/13 02:52:21.394, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.95 W
2026/04/13 02:52:22.395, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.10 W
2026/04/13 02:52:23.395, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.81 W
2026/04/13 02:52:24.395, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/13 02:52:25.396, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.01 W
2026/04/13 02:52:26.396, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.76 W
2026/04/13 02:52:27.396, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.71 W
2026/04/13 02:52:28.396, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.61 W
2026/04/13 02:52:29.397, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.66 W
2026/04/13 02:52:30.397, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.71 W
2026/04/13 02:52:31.397, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.56 W
2026/04/13 02:52:32.398, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.86 W
2026/04/13 02:52:33.398, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.05 W
2026/04/13 02:52:34.398, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.81 W
2026/04/13 02:52:35.399, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.46 W
2026/04/13 02:52:36.399, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.71 W
2026/04/13 02:52:37.399, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 11.71 W
