timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/13 03:29:05.040, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.31 W
2026/04/13 03:29:05.242, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.31 W
2026/04/13 03:29:05.442, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.31 W
2026/04/13 03:29:05.642, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.31 W
2026/04/13 03:29:05.843, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.31 W
2026/04/13 03:29:06.043, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:06.243, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:06.443, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:06.643, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:06.844, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:07.044, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:07.244, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:07.444, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:07.645, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:07.845, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:08.045, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:08.245, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:08.446, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:08.646, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:08.846, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.29 W
2026/04/13 03:29:09.046, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:29:09.246, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:29:09.447, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:29:09.647, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:29:09.847, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:29:10.047, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:10.248, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:10.448, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:10.648, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:10.848, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:11.049, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:11.249, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:11.449, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:11.649, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:11.849, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:12.050, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:12.250, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:12.450, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:12.650, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:12.851, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:13.051, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.39 W
2026/04/13 03:29:13.251, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.39 W
2026/04/13 03:29:13.451, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.39 W
2026/04/13 03:29:13.652, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.39 W
