timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/13 03:18:03.528, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.05 W
2026/04/13 03:18:04.528, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:18:05.530, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:06.531, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:18:07.532, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:18:08.534, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:09.535, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:10.536, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:18:11.537, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.05 W
2026/04/13 03:18:12.539, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:18:13.540, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:14.541, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:18:15.543, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:18:16.544, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:18:17.545, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:18:18.546, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:18:19.548, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:18:20.548, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:18:21.548, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:22.548, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:23.549, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:18:24.549, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:18:25.549, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:18:26.549, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:27.550, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:28.551, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:18:29.552, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:30.552, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:31.553, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:18:32.554, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:18:33.554, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:18:34.554, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:35.555, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:18:36.555, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:18:37.555, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:38.555, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:18:39.556, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:18:40.557, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:18:41.558, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.19 W
2026/04/13 03:18:42.559, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:18:43.561, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
