timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/16 17:50:49.094, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.90 W
2026/04/16 17:50:49.297, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:49.497, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:49.698, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:49.898, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:50.098, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:50.299, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:50.499, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:50.699, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:50.899, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:51.100, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:51.300, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:51.500, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:51.700, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:51.901, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:52.101, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:52.301, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:52.502, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:52.702, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:52.902, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:53.102, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:53.303, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:53.503, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:53.703, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:53.904, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:54.104, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:54.304, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:54.504, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:54.705, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:54.905, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:55.105, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:55.306, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
2026/04/16 17:50:55.506, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 16.85 W
