timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/15 03:11:43.984, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.20 W
2026/04/15 03:11:44.188, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.20 W
2026/04/15 03:11:44.388, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.20 W
2026/04/15 03:11:44.589, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.20 W
2026/04/15 03:11:44.789, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.20 W
2026/04/15 03:11:44.989, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:11:45.189, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:11:45.390, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:11:45.590, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:11:45.790, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:11:45.990, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:11:46.190, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:11:46.391, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:11:46.591, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:11:46.791, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:11:46.991, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:47.192, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:47.392, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:47.592, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:47.792, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:47.993, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:48.193, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:48.393, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:48.593, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:48.794, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:48.994, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:49.194, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:49.394, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:49.595, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:49.795, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:49.995, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:50.196, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:50.396, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:50.596, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:11:50.797, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:50.997, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:51.197, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:51.397, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:51.598, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:51.798, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:51.998, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:52.198, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:52.399, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:52.599, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:52.799, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:53.000, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:53.200, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:53.400, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:53.600, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:53.801, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:54.001, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:54.201, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:54.402, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:54.603, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:54.803, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.003, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.203, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.404, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.604, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.804, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
